Year_of_Study,Previous_GPA,Attendance_Percentage,CAT_1_Score,CAT_2_Score,Assignment_Score,Total_Internal_Marks,At_Risk
3,1.51,83,15,9,5,29,0
4,2.12,68,7,5,3,15,1
2,3.35,69,14,9,10,33,0
3,2.29,63,5,14,8,27,0
4,1.75,82,14,13,8,35,0
1,2.4,59,13,14,9,36,0
2,2.18,65,11,11,6,28,0
4,3.61,53,15,8,2,25,0
1,2.28,76,3,12,3,18,1
4,3.47,77,14,12,10,36,0
1,3.73,92,4,8,6,18,1
2,2.58,65,10,2,1,13,1
3,3.77,82,12,7,2,21,0
1,2.44,97,12,14,8,34,0
4,3.91,68,10,5,8,23,0
2,1.72,70,7,15,6,28,0
1,3.22,71,11,11,3,25,0
4,2.73,58,11,11,2,24,0
4,2.47,58,15,11,6,32,0
4,3.08,58,10,12,1,23,0
1,3.26,76,5,13,10,28,0
1,1.51,66,12,3,6,21,0
1,1.92,93,6,11,9,26,0
3,3.28,94,11,8,7,26,0
1,3.17,57,7,10,9,26,0
1,3.92,65,14,14,2,30,0
1,3.4,67,10,6,5,21,0
3,3.88,82,14,9,9,32,0
1,3.26,50,6,6,7,19,1
4,2.25,61,9,15,9,33,0
1,1.76,55,12,8,6,26,0
4,3.45,90,2,8,7,17,1
4,3.11,54,6,10,10,26,0
4,1.62,65,11,4,5,20,0
3,2.4,67,2,15,6,23,0
3,3.89,98,11,2,1,14,1
3,2.75,67,15,3,1,19,1
1,2.58,50,7,13,2,22,0
4,2.64,68,8,7,4,19,0
3,2.02,57,13,15,9,37,0
3,2.42,52,15,11,7,33,0
1,2.42,74,6,11,6,23,0
3,1.63,54,2,13,1,16,1
1,3.42,89,7,14,5,26,0
2,2.54,68,11,15,4,30,0
3,3.56,67,6,10,5,21,0
2,3.63,99,7,4,9,20,0
1,2.03,80,12,11,3,26,0
4,3.14,82,11,3,4,18,0
3,2.68,96,8,12,8,28,0
1,3.7,67,8,2,3,13,1
4,2.04,88,3,3,3,9,1
4,3.19,65,13,4,9,26,0
2,3.02,65,4,8,5,17,0
1,2.24,96,13,3,10,26,0
4,1.84,87,7,14,1,22,1
3,3.13,90,4,6,7,17,0
3,3.35,56,3,3,7,13,1
2,2.29,63,5,8,6,19,0
4,3.11,92,6,11,6,23,0
1,2.49,97,12,9,3,24,0
3,3.28,74,11,9,3,23,0
4,2.0,81,10,14,10,34,0
4,3.73,87,4,9,9,22,0
2,2.22,71,4,11,1,16,1
3,2.42,65,7,10,7,24,0
3,1.65,78,6,2,10,18,0
1,1.78,65,7,13,7,27,0
3,2.79,61,8,2,8,18,1
1,2.17,66,12,15,6,33,0
3,3.59,86,4,15,8,27,0
2,1.54,76,14,15,1,30,0
3,2.45,74,6,11,1,18,0
1,2.34,62,9,3,9,21,0
1,1.55,57,5,12,4,21,0
2,1.81,54,11,7,3,21,0
3,2.53,61,3,15,6,24,0
3,2.73,90,5,2,10,17,1
2,2.51,52,3,6,9,18,0
3,2.83,84,4,6,10,20,0
3,2.99,82,5,5,4,14,1
1,1.52,71,5,12,9,26,0
3,2.66,99,11,6,5,22,0
3,3.91,93,10,13,7,30,0
2,2.8,58,11,2,3,16,0
2,3.19,90,7,12,3,22,0
4,2.28,67,10,12,3,25,0
1,3.43,99,5,7,8,20,0
3,3.43,78,10,8,6,24,0
3,2.8,88,12,9,9,30,0
4,3.94,76,14,3,9,26,0
3,1.81,85,10,8,8,26,0
1,1.54,94,7,7,1,15,1
4,3.43,66,6,10,6,22,0
1,3.52,83,4,9,4,17,0
4,1.8,95,15,15,4,34,0
4,2.16,52,6,12,3,21,0
2,1.54,54,4,15,9,28,0
1,2.23,63,6,5,2,13,1
3,3.43,52,6,15,1,22,0
3,2.79,72,3,14,10,27,0
1,2.37,88,15,10,3,28,0
3,2.43,79,15,2,4,21,0
3,1.5,99,10,12,4,26,0
1,2.25,94,8,7,6,21,1
4,3.12,72,15,9,1,25,0
1,3.94,76,7,12,1,20,0
4,3.62,59,6,12,2,20,0
3,1.56,74,5,5,4,14,1
3,3.75,62,9,3,7,19,1
3,3.46,65,3,12,6,21,0
2,3.45,90,9,3,9,21,0
4,2.64,83,2,11,7,20,0
2,2.5,86,11,2,5,18,1
2,2.26,71,2,6,6,14,1
1,1.66,66,4,14,10,28,0
2,2.07,72,6,7,9,22,0
1,2.12,85,15,5,1,21,0
1,2.71,98,7,5,9,21,1
2,3.37,58,5,6,6,17,0
4,2.68,51,8,15,4,27,0
4,1.64,81,8,6,5,19,1
4,3.89,99,3,15,1,19,0
4,3.86,71,3,15,7,25,0
4,3.46,92,3,15,8,26,0
2,3.98,62,15,15,5,35,0
2,2.86,57,3,10,2,15,1
3,3.91,50,14,9,8,31,0
4,1.69,66,10,10,10,30,0
2,2.41,61,15,14,7,36,0
3,2.06,53,6,15,10,31,0
4,1.99,62,12,4,9,25,0
1,1.85,80,9,15,4,28,0
3,3.06,90,6,4,9,19,1
2,3.45,56,14,2,4,20,0
1,2.95,72,12,15,3,30,0
1,1.87,73,6,11,3,20,0
1,3.53,54,2,14,10,26,0
3,3.09,54,7,7,2,16,1
2,2.47,66,5,5,10,20,0
1,3.19,79,4,12,3,19,0
4,2.15,58,7,15,8,30,0
1,2.36,55,3,9,8,20,0
1,3.79,74,9,3,2,14,1
3,2.23,68,2,12,2,16,1
3,2.67,65,13,3,2,18,0
2,3.73,70,10,8,10,28,0
4,3.27,51,9,14,7,30,0
3,1.66,59,2,6,6,14,1
1,1.87,65,11,14,1,26,0
2,1.52,86,13,2,2,17,1
1,3.08,64,10,8,1,19,0
1,2.62,62,3,8,7,18,0
3,1.84,62,4,11,6,21,0
2,3.89,81,3,7,2,12,1
4,2.82,94,14,5,2,21,0
4,2.1,96,15,13,2,30,0
3,2.75,95,9,14,8,31,0
3,3.2,57,3,9,7,19,0
2,1.69,92,11,13,1,25,0
4,2.19,67,3,12,4,19,0
4,3.52,85,2,3,4,9,1
4,2.65,75,8,3,7,18,0
1,2.87,59,13,3,2,18,0
4,2.58,80,3,4,4,11,1
1,1.61,82,11,7,1,19,1
2,1.91,78,6,2,4,12,1
1,2.61,54,6,12,1,19,0
2,2.02,62,4,3,2,9,1
4,1.62,50,4,11,2,17,0
4,3.61,72,14,3,10,27,0
2,3.95,89,13,15,3,31,0
3,3.48,52,4,13,8,25,0
2,3.63,52,7,2,6,15,0
3,2.1,56,15,4,6,25,0
1,3.9,85,5,11,9,25,0
1,1.99,84,14,8,8,30,0
1,3.88,64,4,14,2,20,0
4,3.99,89,3,2,6,11,1
1,3.28,52,14,8,1,23,0
3,3.95,78,4,6,9,19,0
1,2.92,79,5,10,4,19,0
2,2.15,88,7,3,4,14,1
2,2.59,67,5,2,9,16,1
4,2.98,60,9,10,3,22,0
2,1.68,92,4,9,5,18,0
3,3.06,98,13,11,1,25,0
1,3.95,87,4,7,6,17,0
4,1.98,89,4,6,3,13,1
1,3.48,50,9,9,1,19,1
1,3.77,78,5,9,10,24,0
3,3.86,59,2,15,6,23,0
2,3.9,77,3,6,10,19,0
2,2.8,80,14,13,2,29,0
1,3.94,68,15,8,8,31,0
4,3.39,52,11,14,2,27,0
2,1.9,85,14,14,4,32,0
4,2.69,92,14,2,3,19,0
2,3.3,64,15,5,9,29,0
4,2.12,82,3,3,2,8,1
3,3.1,90,15,11,3,29,0
4,3.17,92,4,4,7,15,1
3,1.91,94,7,13,4,24,0
3,2.91,75,9,2,6,17,0
4,3.43,65,13,12,3,28,0
3,2.75,85,2,12,1,15,0
1,1.53,82,10,3,6,19,0
3,1.52,69,2,14,4,20,0
2,2.39,62,11,2,2,15,1
4,3.82,82,3,9,7,19,0
1,2.07,54,4,5,10,19,0
4,3.09,86,8,4,5,17,1
2,2.06,63,10,2,6,18,0
2,2.3,76,4,3,6,13,1
2,3.62,72,9,4,9,22,0
3,3.32,63,10,4,2,16,0
3,1.74,89,11,7,6,24,0
4,2.57,53,8,11,9,28,0
4,1.57,88,5,9,4,18,1
1,2.7,68,5,7,6,18,0
1,3.16,96,5,3,7,15,1
4,1.8,53,7,3,1,11,1
3,2.22,79,5,15,5,25,0
2,2.49,68,6,8,4,18,1
4,3.8,80,10,2,10,22,0
1,3.98,80,13,2,2,17,1
3,1.61,58,8,8,2,18,0
4,3.4,62,9,10,2,21,0
4,2.43,63,6,6,7,19,0
3,2.48,95,6,12,4,22,0
4,3.39,59,14,2,6,22,0
3,3.8,97,12,6,7,25,0
2,3.88,80,8,12,9,29,0
3,2.94,86,12,2,2,16,1
3,2.39,72,14,11,10,35,0
3,3.47,76,15,13,9,37,0
4,2.13,55,13,10,5,28,0
4,2.91,75,9,5,6,20,0
3,2.4,51,10,10,6,26,0
4,3.14,94,15,3,3,21,0
1,2.1,62,3,8,10,21,0
1,1.98,99,4,13,7,24,0
4,3.8,68,13,14,7,34,0
4,1.75,50,13,3,8,24,0
3,2.76,89,3,13,5,21,0
2,2.05,81,11,5,2,18,1
4,1.6,71,8,7,3,18,1
1,1.59,97,13,15,9,37,0
3,1.94,78,3,3,6,12,1
4,3.67,51,13,3,8,24,0
1,2.21,89,15,3,8,26,0
1,3.88,87,3,4,5,12,1
2,2.95,97,15,6,1,22,0
3,2.59,60,15,10,6,31,0
3,2.95,66,3,7,7,17,1
2,2.79,92,13,13,9,35,0
2,3.4,57,14,15,2,31,0
3,2.21,71,5,10,2,17,0
3,2.38,53,2,11,10,23,0
4,3.74,60,3,15,1,19,1
4,3.87,57,4,14,5,23,0
2,3.73,58,8,6,2,16,1
4,2.55,75,11,12,3,26,0
1,3.45,51,2,7,2,11,1
4,2.69,65,7,11,4,22,0
4,2.74,80,4,13,3,20,0
1,2.01,55,4,9,9,22,0
2,2.98,70,5,4,10,19,0
1,1.97,75,14,3,2,19,0
4,2.33,68,5,4,7,16,1
2,3.64,77,8,15,3,26,0
4,2.02,57,4,10,10,24,0
1,1.68,63,9,7,8,24,0
1,1.67,73,9,11,4,24,0
4,3.85,97,12,13,4,29,0
3,2.77,93,14,5,9,28,0
3,2.52,86,8,11,3,22,0
1,3.53,75,3,4,7,14,1
1,3.59,80,6,14,1,21,0
3,2.33,81,7,3,7,17,0
3,3.23,99,13,15,10,38,0
4,3.43,90,11,5,2,18,0
4,3.14,51,5,10,6,21,0
3,1.88,74,14,5,9,28,0
4,3.69,93,11,14,6,31,0
4,2.85,51,6,13,3,22,0
2,2.21,91,15,6,1,22,0
4,2.56,50,10,9,4,23,0
1,1.59,85,12,3,4,19,1
4,1.82,61,8,13,8,29,0
4,3.41,58,3,12,10,25,0
3,1.5,85,12,15,10,37,0
1,2.54,90,2,4,7,13,1
4,2.81,77,3,7,10,20,0
4,1.64,87,4,13,7,24,0
2,3.93,82,12,8,7,27,0
4,2.07,91,3,5,2,10,1
4,2.26,95,12,15,9,36,0
2,2.26,71,4,2,6,12,1
3,2.08,74,11,8,2,21,0
4,1.5,67,12,13,1,26,0
2,3.32,55,12,10,1,23,0
1,3.92,67,13,2,1,16,0
3,2.06,65,15,15,4,34,0
1,3.16,64,13,2,4,19,1
1,3.35,97,10,2,9,21,0
2,3.62,57,5,11,1,17,0
4,2.56,62,13,8,3,24,0
2,2.26,92,10,12,3,25,0
2,2.31,56,12,10,8,30,0
2,3.28,66,4,4,2,10,1
2,3.54,99,13,9,6,28,0
3,1.95,81,2,10,4,16,1
4,2.43,71,12,4,10,26,0
1,3.75,62,6,13,6,25,0
1,3.52,96,11,13,5,29,0
4,3.96,72,11,4,9,24,0
1,3.39,78,15,2,9,26,0
4,2.48,71,3,3,1,7,1
1,2.98,50,5,8,3,16,0
2,3.15,78,3,4,1,8,1
1,1.7,97,3,8,6,17,1
4,2.86,54,14,6,3,23,0
4,3.27,84,4,11,1,16,0
4,1.92,59,6,9,6,21,0
4,3.45,68,5,6,5,16,1
4,2.96,86,3,4,8,15,1
3,3.88,56,12,10,2,24,0
3,1.61,95,15,8,8,31,0
1,2.16,84,15,6,5,26,0
4,3.0,94,11,8,8,27,0
1,2.24,62,3,12,10,25,0
4,3.29,59,15,11,4,30,0
4,3.4,51,7,10,4,21,0
3,1.76,55,8,6,10,24,0
3,2.78,57,13,8,4,25,0
2,2.77,85,11,12,6,29,0
3,2.42,74,7,10,4,21,0
2,3.83,93,8,2,9,19,0
2,3.57,96,2,5,9,16,1
2,3.24,89,7,2,3,12,1
2,3.29,56,12,9,7,28,0
2,2.65,95,4,4,5,13,1
1,3.8,72,2,3,9,14,1
3,3.24,68,9,15,2,26,0
2,3.32,95,5,5,3,13,1
4,3.65,71,11,12,10,33,0
3,2.19,62,9,4,5,18,0
3,3.52,70,11,12,5,28,0
2,1.99,50,15,6,10,31,0
1,2.36,68,12,14,7,33,0
2,2.34,82,5,9,8,22,0
1,3.95,53,5,11,8,24,0
4,3.64,91,13,9,1,23,0
3,3.25,52,15,12,1,28,0
4,3.32,76,11,8,3,22,0
1,2.91,90,5,9,1,15,1
1,3.87,84,7,14,1,22,0
4,2.74,77,15,14,10,39,0
1,2.45,55,10,6,8,24,0
4,1.91,55,6,11,1,18,0
3,3.47,93,13,11,9,33,0
4,3.34,72,14,12,2,28,0
3,2.46,82,11,13,9,33,0
4,1.56,65,15,12,7,34,0
1,3.6,73,9,14,9,32,0
4,1.53,54,9,7,3,19,0
1,3.26,90,5,9,1,15,1
4,3.93,91,12,14,1,27,0
4,2.59,62,11,2,10,23,0
2,2.09,96,10,7,6,23,0
1,3.26,61,10,7,7,24,0
2,3.54,54,6,12,9,27,0
1,2.87,86,7,14,6,27,0
2,3.92,80,6,6,5,17,1
3,1.63,77,4,5,2,11,1
4,2.76,77,12,2,2,16,1
1,3.3,79,9,12,8,29,0
1,3.66,67,10,11,1,22,0
4,1.95,93,5,12,8,25,0
1,3.5,76,10,9,10,29,0
1,2.88,84,10,7,7,24,0
2,2.49,75,8,4,7,19,0
1,1.83,88,9,13,5,27,0
3,3.66,98,4,4,3,11,1
3,1.89,67,6,13,7,26,0
4,2.27,82,4,7,7,18,1
1,2.23,74,8,13,7,28,0
4,3.68,80,7,8,2,17,1
3,3.18,86,12,9,3,24,0
1,3.49,51,4,6,3,13,1
1,2.13,82,10,11,4,25,0
4,3.06,88,13,7,9,29,0
3,2.93,92,2,13,10,25,0
1,3.58,92,11,2,1,14,1
4,3.77,81,4,7,7,18,0
3,1.53,67,12,10,7,29,0
4,3.19,66,11,11,4,26,0
2,1.63,83,12,5,1,18,1
1,2.87,88,8,15,3,26,0
2,2.22,56,4,15,5,24,0
3,2.27,91,15,11,2,28,0
2,2.38,84,4,14,7,25,0
2,3.05,79,3,2,10,15,1
3,2.34,61,10,15,10,35,0
4,3.33,84,12,12,7,31,0
2,2.51,60,5,10,10,25,0
4,1.67,93,11,5,5,21,0
2,3.46,53,14,3,10,27,0
4,2.21,74,7,2,6,15,1
3,2.58,97,3,4,1,8,1
2,3.21,81,10,8,4,22,0
3,2.33,69,8,12,4,24,0
2,1.64,99,11,11,8,30,0
3,2.43,80,6,3,2,11,1
3,3.86,53,8,10,1,19,0
2,3.1,87,15,13,7,35,0
2,3.18,96,5,14,6,25,0
2,3.08,50,14,12,5,31,0
1,2.0,52,11,3,8,22,0
4,2.55,86,14,6,2,22,0
1,3.38,71,8,9,2,19,1
1,1.75,66,3,14,9,26,0
3,2.19,63,8,14,1,23,0
2,2.19,90,5,13,6,24,0
4,2.58,84,5,11,3,19,1
3,3.95,62,2,9,5,16,0
1,1.67,84,13,4,8,25,0
2,2.8,92,4,3,7,14,1
3,1.95,51,6,10,4,20,0
2,3.93,96,6,4,8,18,0
3,1.78,62,3,9,10,22,0
2,2.51,65,5,3,2,10,1
1,3.34,67,2,4,7,13,1
4,3.26,56,10,2,5,17,1
1,2.56,94,2,15,6,23,0
4,2.37,85,7,12,3,22,1
2,2.49,90,8,7,10,25,0
3,2.16,79,4,14,7,25,0
1,2.01,91,13,8,7,28,0
4,2.71,90,2,5,2,9,1
1,2.17,56,8,2,1,11,1
4,2.22,64,4,4,10,18,0
1,3.14,89,14,10,2,26,0
4,3.92,68,11,6,8,25,0
4,3.01,92,13,7,10,30,0
2,1.69,86,13,5,3,21,1
4,1.69,51,7,2,4,13,1
2,3.88,91,14,15,8,37,0
4,2.24,97,13,6,3,22,0
3,1.73,62,15,6,6,27,0
3,3.0,89,7,6,2,15,1
3,3.06,90,15,7,3,25,0
4,3.12,92,13,12,1,26,0
2,2.17,92,5,3,9,17,0
2,1.54,80,13,2,4,19,0
4,3.91,65,12,3,6,21,0
3,2.13,91,7,14,7,28,0
3,3.19,93,12,11,2,25,0
2,3.27,55,11,7,8,26,0
3,3.03,77,5,6,9,20,0
1,2.28,81,14,6,10,30,0
2,2.18,93,9,13,2,24,0
3,2.99,59,10,13,5,28,0
2,3.67,99,3,7,2,12,1
1,3.87,67,8,15,5,28,0
2,1.76,53,10,11,7,28,0
2,1.89,58,10,8,6,24,0
2,3.86,56,13,10,4,27,0
2,3.34,99,6,8,2,16,1
1,3.71,57,2,3,7,12,1
4,2.01,92,7,7,10,24,0
2,2.97,56,9,10,9,28,0
2,3.25,90,2,8,1,11,1
3,3.2,89,3,3,3,9,1
2,2.52,52,14,4,7,25,0
3,1.54,66,14,9,9,32,0
4,2.96,51,2,12,5,19,1
1,2.13,64,6,10,7,23,0
1,2.63,95,3,5,10,18,1
4,3.89,78,11,10,7,28,0
1,2.5,99,11,3,4,18,0
4,3.6,97,15,14,5,34,0
4,1.97,71,5,12,2,19,0
4,3.18,53,2,6,8,16,1
1,3.94,55,8,12,1,21,0
3,1.75,87,9,3,2,14,1
4,1.52,75,6,12,3,21,0
2,2.58,60,3,2,7,12,1
1,1.73,75,9,14,6,29,0
4,3.37,66,2,15,7,24,0
4,3.79,73,8,6,5,19,0
2,2.59,77,2,3,4,9,1
3,2.15,84,13,15,7,35,0
3,2.59,80,7,14,3,24,0
3,3.31,62,14,8,10,32,0
4,1.52,84,7,9,7,23,0
4,2.97,65,6,3,2,11,1
4,3.03,64,3,8,8,19,0
1,3.09,92,3,5,6,14,1
2,2.11,67,10,2,3,15,1
4,3.29,96,6,12,3,21,0
2,1.73,86,6,4,5,15,1
2,2.0,97,8,12,3,23,0
3,3.69,97,7,13,6,26,0
1,3.35,98,3,2,2,7,1
4,1.53,90,12,6,8,26,0
3,2.12,76,2,14,9,25,0
3,2.04,84,6,9,7,22,0
4,2.18,94,5,2,3,10,1
2,2.12,84,13,15,10,38,0
3,1.66,77,4,10,4,18,0
2,2.65,88,3,4,10,17,0
1,3.33,87,11,6,2,19,1
2,3.02,58,3,10,9,22,0
1,3.18,61,15,6,5,26,0
2,1.7,64,5,10,2,17,0
3,3.88,70,3,11,10,24,0
3,3.6,84,5,9,6,20,0
1,3.51,91,4,8,7,19,0
4,3.56,82,10,12,2,24,0
1,3.83,68,8,2,1,11,1
1,2.86,72,15,5,7,27,0
2,2.0,62,14,10,1,25,0
2,3.04,93,12,11,3,26,0
1,3.36,50,13,9,4,26,0
3,3.34,78,4,5,2,11,1
2,2.8,73,14,13,7,34,0
4,1.67,65,15,2,5,22,0
2,2.43,74,9,11,1,21,0
2,3.8,72,10,5,8,23,0
4,2.96,77,14,4,10,28,0
1,2.85,96,8,7,7,22,0
4,2.17,65,7,12,4,23,0
1,2.42,92,5,6,2,13,1
1,3.74,87,6,6,7,19,0
1,3.17,60,9,3,2,14,1
4,3.47,52,4,13,6,23,0
1,2.64,64,3,4,1,8,1
3,3.08,50,4,12,7,23,0
4,2.12,56,13,7,7,27,0
3,3.26,50,8,3,4,15,1
1,2.57,98,9,5,4,18,1
2,2.61,81,2,3,10,15,1
1,3.12,58,14,10,5,29,0
3,3.84,78,8,4,2,14,1
3,1.66,75,10,11,9,30,0
4,3.56,72,13,11,10,34,0
2,2.23,94,14,7,4,25,0
4,2.61,92,15,2,9,26,0
3,1.55,78,15,14,3,32,0
1,2.25,87,4,12,9,25,0
2,2.76,82,4,15,1,20,0
1,1.64,56,9,11,7,27,0
1,2.73,61,5,4,4,13,1
2,3.82,80,15,9,7,31,0
4,1.76,81,9,6,10,25,0
1,3.41,69,6,9,6,21,0
3,2.52,66,15,3,4,22,0
1,3.14,85,4,8,4,16,1
2,2.15,52,5,10,8,23,0
2,1.9,50,15,8,7,30,0
2,1.9,99,5,4,4,13,1
4,1.68,76,9,8,6,23,0
1,1.96,96,7,9,6,22,0
4,3.16,89,8,15,1,24,0
4,3.7,82,10,2,2,14,1
2,3.54,69,7,14,4,25,0
2,3.21,63,4,14,6,24,0
4,1.78,85,14,4,6,24,0
1,2.22,54,4,6,1,11,1
3,2.27,72,12,13,8,33,0
4,2.12,94,4,7,2,13,1
1,2.79,64,13,4,5,22,0
2,2.84,55,11,5,4,20,0
2,2.39,82,3,6,5,14,1
1,2.38,68,2,4,5,11,1
3,3.57,62,12,5,10,27,0
2,3.47,78,11,6,8,25,0
2,2.27,55,2,3,10,15,1
2,3.78,64,5,11,7,23,0
1,3.88,65,4,10,9,23,0
4,2.32,73,6,11,1,18,0
2,2.39,72,13,9,6,28,0
4,2.76,97,10,13,6,29,0
3,3.85,59,13,7,2,22,0
2,3.69,90,14,11,8,33,0
2,1.76,90,9,12,6,27,0
3,2.48,98,13,4,10,27,0
2,2.88,66,10,12,9,31,0
4,2.76,98,14,3,10,27,0
1,1.98,93,6,8,5,19,0
4,3.65,94,9,9,7,25,0
1,3.19,79,5,11,6,22,0
1,3.59,93,6,2,5,13,1
4,3.65,95,13,15,6,34,0
4,3.37,59,4,7,4,15,1
4,2.6,68,6,8,3,17,1
4,3.03,78,13,14,1,28,0
3,1.9,51,4,10,1,15,1
2,3.18,85,6,13,6,25,0
1,1.95,68,12,4,9,25,0
4,3.23,56,15,3,8,26,0
4,2.07,75,6,6,2,14,1
4,1.79,64,7,14,9,30,0
3,1.91,96,10,11,8,29,0
4,1.5,87,2,2,9,13,1
4,3.3,52,13,14,4,31,0
4,3.33,87,11,7,9,27,0
2,2.79,65,15,10,2,27,0
3,1.9,51,7,11,1,19,0
4,1.71,80,2,10,9,21,0
1,1.55,77,7,8,10,25,0
1,1.91,56,3,15,8,26,0
1,3.73,79,9,12,7,28,0
3,2.1,92,12,8,8,28,0
3,2.39,56,4,9,1,14,1
1,1.76,85,11,11,9,31,0
4,2.06,78,15,15,10,40,0
3,2.8,73,7,3,9,19,0
1,3.02,88,7,15,9,31,0
1,2.11,53,5,7,6,18,0
4,1.64,78,6,6,4,16,1
2,2.48,93,3,6,2,11,1
3,2.09,54,11,14,4,29,0
4,2.05,78,11,4,7,22,1
1,3.9,79,9,4,1,14,1
1,3.04,78,11,7,9,27,0
4,2.89,75,8,13,3,24,0
3,2.54,68,11,11,4,26,0
2,2.57,75,7,14,5,26,0
2,2.85,86,8,11,3,22,0
1,3.24,76,13,8,4,25,0
3,3.26,79,2,15,5,22,0
2,1.93,79,15,2,1,18,1
3,2.75,52,15,15,9,39,0
3,2.53,92,6,4,10,20,0
1,3.68,56,8,13,10,31,0
2,3.08,98,2,2,4,8,1
4,2.83,58,3,11,9,23,0
1,1.79,90,10,4,4,18,0
2,3.01,91,13,6,1,20,0
2,1.79,62,4,10,5,19,0
2,2.34,64,7,4,9,20,0
2,1.86,54,8,11,3,22,0
2,3.23,78,10,15,5,30,0
3,2.02,84,6,11,3,20,0
1,2.48,76,5,10,3,18,1
3,3.74,76,12,2,1,15,1
4,2.01,57,13,7,2,22,0
2,2.77,81,3,10,2,15,1
1,2.55,69,4,13,9,26,0
2,1.55,59,6,6,7,19,1
1,3.48,62,12,12,8,32,0
3,1.67,78,14,15,2,31,0
1,2.69,84,3,11,9,23,0
4,2.9,57,14,3,3,20,0
4,3.07,78,5,6,10,21,0
1,3.22,80,2,2,2,6,1
